english_sentences,hinglish_sentences
The result was discord and loss of peace in the family.,Isse ghar me result was discord and loss of peace 
Never show the dialog again for all links of this type.,for all links of this type samvaad punah kabhi na dikhaye.
Retrieving quota information for folder '% s',for folder '% s' Quota prapt kar raha he.
"Eyes: Spitting cobras can actually eject their venom quite accurately into the eyes of their victims, resulting in direct eye pain and damage.","Aankh-thiknevaale cobra aksar apne shikar ki aankho me vish thuk dete he,resulting in direct eye pain and damage."
"and preached to them in public, and also addressed them in secret.",“Fir mene unse khule taur par bhi baate ki and also addressed them in secret.
"Ladies and Gentlemen,I invite you to please join me in raising a toast:",At arunachal tourist ne fal ke khet ka daura kiya.
A similar provision exists for the Deputy Chairman Rajya Sabha in article 90.,A similar provision exists rajyasabha ke upsabhapati ke liye anuchchhed 90 me.
A structure above the surface.,Above the surface samrachana.
So do not obey the deniers.,So do not obey juthlanevaalo ka kahna.
"If you believe you can, you probably can.","If you believe you can, to sambhavat aap kar sakte he."
Didn 't he conquer Bengal *?,Bengal ko Didn 't he conquer?
"And although , in the short term , the truth has many facets , the long-term truth is only one and unmistakable .","Aur alpakal me to satya ke kae pahlu ho sakte he, the long-term truth is only one and unmistakable."
Water resources development and management will have to be planned for a hydrological unit.,Jal sansadhan vikas aur prabandhan ki yojna banani hogi for a hydrological unit.
unusual trapping or confinement of a part in the body,A part in the body ka asamanya rup se fansna ya simit ho jana.
An amount of notes and cashes that the cashier maintain in his cash - box for operations.,An amount of notes and cashes jo khajanchi dainik karya vyavhar ke liye apne nakdi box ne rakhta ho.
"Premium rates depend on the ‘expected loss’, which in turn depends on the patterns of weather parameters of historical period of about 25 to 100 years in the context of ideal weather requirements of a crop.","Premium dare ‘anumanit nukshan’ par nirbhar karti he, which in turn depends on the patterns of weather parameters of historical period of about 25 to 100 years in the context of ideal weather requirements of a crop."
And in all cases we have to ask -,And in all cases hame puchhana he.
Drayage from port to warehouse is borne by the importer.,Bandargaah se godam tak drayage is borne by the importer.
of what there is to fear and to hate.,Hame kisse darna chahiye and to hate.
Place the king of hearts next to the queen of hearts.,Place the king of hearts next to lal paan ki begam.
"and We made them a thing of the past, and We made them an example to later people.","and We made them a thing of the past,aur baadvaalo ke liye shikshaprad example bana diya."
"At this stage, learned counsel for the parties have pointed out that the decreetal amount has since been deposited with the Registrar General of this court which is lying in an FDR.","At this stage, learned counsel for the parties have pointed out that decreet rashi tab se adalat ke maha-ragistrar ke paas jama kar di gai thi jo ki ek savdhi jama rasid me padi hue he."
"Though the poem was not later included in his Collected Works, it did help to establish his reputation on its first appearance.","Though the poem was not later included in his Collected Works,to bhi apni pahli upsthiti se uski pratishtha sthapit karne me sahayata mili thi."
"We saw earlier that thousands of devotees were visiting his house and that he used to spend the nights with them, singing devotional songs and speaking of Shiva.","Ham pahle dekh chuke he ki hajaro bhakt basav ke ghar aate the and that he used to spend the nights with them, singing devotional songs and speaking of Shiva."
"Shimla can be reached by rail, road or air.","Shimla pahucha jaa sakta he by rail, road or air."
"PRESIDENT OF INDIA TO INAUGURATE AN INTERNATIONAL CONVENTION ON HOMOEOPATHY TOMORROW, Rashtrapati Bhavan : 08.04.2016",President of india to inaugurate an international convention tomorrow homoeopathy par. Rashtrapati Bhavan:08.04.2016
"He said, “Do not fear, I am with you, I hear and I see.","He said, “Do not fear, I am with you sab kuchh sunta aur dekhta hu."
” I hold the power of life and death for every person I take with me .,For every person I take with me uski jindagi aur maut mere hatho me hoti he.
"It gives me great pleasure to address this distinguished gathering of business participants. Other than working on business deals, such events are important platforms for deepening mutual engagement and interaction, and providing an opportunity to think creatively about ways to develop the potential of our relationship.","It gives me great pleasure to address this distinguished gathering of business participants. Vyapar saudo par karya  karne ke alava, aese samaroh parspar sambandh aur baatchit m ghanisthata laane tathta apne rishto ki sambhavnae paida karne ke tariko ke baare me rachanatmak dhang se vichar karne ke important platform hote he."
a lot of young people with a demographic dividend,With a demographic dividend kae yuva log.
The peasant was shaken up and he began to emerge from his quiescent shell .,Kisaan zakzor utha aur he began to emerge from his quiescent shell .
We 'll do the microbiology of it in the future,Bhavishya me We 'll do the microbiology of it.
"And in this state, he is married and brings home a wife.","And in this state, uska vivah ho jata he aur patni ghar me le aata he."
This bushy plant is a host in a plant pathosystem.,This Zadidaar paudha is a host in a plant pathosystem.
An organism or individual having a diploid set of chromosomes derived from each parent.,Koi avyav ya jiv having a diploid set of chromosomes derived from each parent.
It is right that we should put all our strength in the advancement of the cause that we hold dear.,"It is right that jo maksad hame pyara he, usko pura krne ke liye hum apni puri takat laga de."
"(x) And do not even go near the property of the orphan - except that it be in the best manner - till he attains his maturity. (xi) And fulfil the covenant, for you will be called to account regarding the covenant.",And do not even go near the property of the orphan - except that it be in the best manner - till he attains his maturity.aur pratigna puri karo. Pratigna ke vishay me avashya puchha jayega.
Products with factory price are available in show room,In show room Factory kimat par utpaad uplabdh he.
There are eighteen thousand verses in the BrahmavaivarthPuran.,In the BrahmavaivarthPuran shloko ki sankhya atharah hajar he.
"Life is not but our worldly life - we die and live, but we will not be resurrected.","we die and live, aur ham to dubara uthaye nahi jayenge ho na ho ye vah sakhs he jisne khuda par juth muth bohtaan bandha he."
The violin bow might well have grown out of the act of fire-making by scraping one rod over another .,Bahut sambhav he ki violin ka gaj by scraping one rod over another aag jalane vaali samanya jivan ki kriya ka hi viksit rup ho.
